Datum,Turnier,Bedenkzeit,Turnierlink
08.08.,152. Lichess-Liga 5B,5+0,https://lichess.org/tournament/Bbw7nUrl
05.08.,151. Lichess-Liga 5A,3+2,https://lichess.org/tournament/x0qoRO0A
01.08.,150. Lichess-Liga 5B,3+0,https://lichess.org/tournament/QSZnswGK
29.07.,149. Lichess-Liga 4B,5+0,https://lichess.org/tournament/cvc3Vex4
25.07.,148. Lichess-Liga 5A,3+2,https://lichess.org/tournament/6Yq4Tcqk
22.07.,147. Lichess-Liga 5A,3+0,https://lichess.org/tournament/tfpQEC7A
18.07.,146. Lichess-Liga 4A,5+0,https://lichess.org/tournament/naxaXagF
15.07.,145. Lichess-Liga 4C,3+2,https://lichess.org/tournament/mKCV7YVj
11.07.,144. Lichess-Liga 5B,3+0,https://lichess.org/tournament/8k0ReyHs
08.07.,143. Lichess-Liga 4B,5+0,https://lichess.org/tournament/xQTJRvZa
04.07.,142. Lichess-Liga 4B,3+2,https://lichess.org/tournament/usGqOSip
01.07.,141. Lichess-Liga 5A,3+0,https://lichess.org/tournament/F691Q9sD
27.06.,140. Lichess-Liga 4C,5+0,https://lichess.org/tournament/Qk4l9u14
24.06.,139. Lichess-Liga 5A,3+2,https://lichess.org/tournament/iS7thzGP
20.06.,138. Lichess-Liga 6C,3+0,https://lichess.org/tournament/JbvgSW5i
17.06.,137. Lichess-Liga 6C,5+0,https://lichess.org/tournament/iHSCOLMo
13.06.,136. Lichess-Liga 5A,3+2,https://lichess.org/tournament/2vW26E3m
10.06.,135. Lichess-Liga 5B,3+0,https://lichess.org/tournament/prQHv9iw
06.06.,134. Lichess Quarantäne-Liga 4C,5+0,https://lichess.org/tournament/TDlZtUfd
03.06.,133. Lichess Quarantäne-Liga 5A,3+2,https://lichess.org/tournament/cB5cQbgk
30.05.,132. Lichess Quarantäne-Liga 6B,3+0,https://lichess.org/tournament/HWIB9OSV
27.05.,131. Lichess Quarantäne-Liga 6A,5+0,https://lichess.org/tournament/NjgYYRat
23.05.,130. Lichess Quarantäne-Liga 6A,3+2,https://lichess.org/tournament/KFPcPGOX
20.05.,129. Lichess Quarantäne-Liga 6B,3+0,https://lichess.org/tournament/u9FG59mQ
16.05.,128. Lichess Quarantäne-Liga 6B,5+0,https://lichess.org/tournament/W7sUiHpe
13.05.,127. Lichess Quarantäne-Liga 6A,3+2,https://lichess.org/tournament/6eJftsf5
09.05.,126. Lichess Quarantäne-Liga 5B,3+0,https://lichess.org/tournament/4usnmPz3
06.05.,125. Lichess Quarantäne-Liga 6C,5+0,https://lichess.org/tournament/EQazWbWC
02.05.,124. Lichess Quarantäne-Liga 6A,3+2,https://lichess.org/tournament/MGgwOwud
29.04.,123. Lichess Quarantäne-Liga 6B,3+0,https://lichess.org/tournament/jY8mCiCz
25.04.,122. Lichess Quarantäne-Liga 6A,5+0,https://lichess.org/tournament/aFa8GvMC
22.04.,121. Lichess Quarantäne-Liga 5C,3+2,https://lichess.org/tournament/B91t9WWk
18.04.,120. Lichess Quarantäne-Liga 6A,3+0,https://lichess.org/tournament/VihwGRSB
15.04.,119. Lichess Quarantäne-Liga 5A,5+0,https://lichess.org/tournament/f1QjkCZj
11.04.,118. Lichess Quarantäne-Liga 5A,3+2,https://lichess.org/tournament/64BdB5zz
08.04.,117. Lichess Quarantäne-Liga 5B,3+0,https://lichess.org/tournament/EHPwUtze
04.04.,116. Lichess Quarantäne-Liga 6A,5+0,https://lichess.org/tournament/WPrdPb7L
01.04.,115. Lichess Quarantäne-Liga 6A,3+2,https://lichess.org/tournament/hzUR7vVs
28.03.,114. Lichess Quarantäne-Liga 7B,3+0,https://lichess.org/tournament/aUe9eueb
25.03.,113. Lichess Quarantäne-Liga 6B,5+0,https://lichess.org/tournament/NGi1EWnw
21.03.,112. Lichess Quarantäne-Liga 7B,3+2,https://lichess.org/tournament/UtfsHkaH
18.03.,111. Lichess Quarantäne-Liga 6B,3+0,https://lichess.org/tournament/0MX1JDtl
14.03.,110. Lichess Quarantäne-Liga 6C,5+0,https://lichess.org/tournament/nQAWxxqA
11.03.,109. Lichess Quarantäne-Liga 5A,3+2,https://lichess.org/tournament/HtcsAjQW
07.03.,108. Lichess Quarantäne-Liga 5B,3+0,https://lichess.org/tournament/lRPqzcAd
04.03.,107. Lichess Quarantäne-Liga 5C,5+0,https://lichess.org/tournament/jGqGJXoD
28.02.,106. Lichess Quarantäne-Liga 6B,3+2,https://lichess.org/tournament/rpxMQC6Y
25.02.,105. Lichess Quarantäne-Liga 5B,3+0,https://lichess.org/tournament/9wXHUKZF
21.02.,104. Lichess Quarantäne-Liga 6C,5+0,https://lichess.org/tournament/zG7hZAxL
